- 21:24:41.000 DEBUG: Client started on Aiden-Desktop
- 21:24:45.353 DEBUG: Server ready
- 21:24:55.290 DEBUG: Received SYN: 1930
- 21:24:55.290 DEBUG: Sending SYN+ACK: SYN -> 1898 ACK -> 1931
- 21:24:55.306 DEBUG: Received final ACK: 1899, expected: 1899
- 21:24:55.306 DEBUG: Handshake success, connected to client!
- 21:24:55.306 DEBUG: Current SeqNo: 1
- 21:24:55.306 DEBUG: Expected SeqNo: 1
- 21:25:20.735 DEBUG: Receivec packet, SeqNo = 1
- 21:25:20.735 DEBUG: Sending response, AckNo = 1
- 21:25:27.411 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.411 DEBUG: Sending response, AckNo = 0
- 21:25:27.411 DEBUG: Receiving file client.pdf
- 21:25:27.426 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.426 DEBUG: Sending response, AckNo = 1
- 21:25:27.442 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.442 DEBUG: Sending response, AckNo = 0
- 21:25:27.442 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.442 DEBUG: Sending response, AckNo = 1
- 21:25:27.457 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.457 DEBUG: Sending response, AckNo = 0
- 21:25:27.457 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.457 DEBUG: Sending response, AckNo = 1
- 21:25:27.473 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.473 DEBUG: Sending response, AckNo = 0
- 21:25:27.473 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.473 DEBUG: Sending response, AckNo = 1
- 21:25:27.489 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.489 DEBUG: Sending response, AckNo = 0
- 21:25:27.489 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.489 DEBUG: Sending response, AckNo = 1
- 21:25:27.504 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.504 DEBUG: Sending response, AckNo = 0
- 21:25:27.504 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.504 DEBUG: Sending response, AckNo = 1
- 21:25:27.520 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.520 DEBUG: Sending response, AckNo = 0
- 21:25:27.520 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.520 DEBUG: Sending response, AckNo = 1
- 21:25:27.535 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.535 DEBUG: Sending response, AckNo = 0
- 21:25:27.535 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.535 DEBUG: Sending response, AckNo = 1
- 21:25:27.551 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.551 DEBUG: Sending response, AckNo = 0
- 21:25:27.551 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.551 DEBUG: Sending response, AckNo = 1
- 21:25:27.567 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.567 DEBUG: Sending response, AckNo = 0
- 21:25:27.567 DEBUG: Receivec packet, SeqNo = 1
