- 11:44:01.000 DEBUG: Server started on AidenLaptop
- 11:44:04.703 DEBUG: Server ready
- 11:44:20.937 DEBUG: Received SYN: 950
- 11:44:20.937 DEBUG: Sending SYN+ACK: SYN -> 898 ACK -> 951
- 11:44:20.937 DEBUG: Received final ACK: 899, expected: 899
- 11:44:20.937 DEBUG: Handshake success, connected to client!
- 11:44:20.937 DEBUG: Current SeqNo: 1
- 11:44:20.937 DEBUG: Expected SeqNo: 1
- 11:44:28.078 DEBUG: Received packet, SeqNo = 1
- 11:44:28.078 DEBUG: Sending response, AckNo = 1
- 11:44:36.672 DEBUG: Received packet, SeqNo = 0
- 11:44:36.672 DEBUG: Sending response, AckNo = 0
- 11:44:36.672 DEBUG: Receiving file client.pdf
- 11:44:36.297 DEBUG: Received packet, SeqNo = 0
- 11:44:36.297 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:37.609 DEBUG: Received packet, SeqNo = 0
- 11:44:37.609 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:37.703 DEBUG: Received packet, SeqNo = 1
- 11:44:37.703 DEBUG: Sending response, AckNo = 1
- 11:44:37.718 DEBUG: Received packet, SeqNo = 0
- 11:44:37.718 DEBUG: Sending response, AckNo = 0
- 11:44:38.968 DEBUG: Received packet, SeqNo = 0
- 11:44:38.968 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:38.281 DEBUG: Received packet, SeqNo = 0
- 11:44:38.281 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:39.890 DEBUG: Received packet, SeqNo = 0
- 11:44:39.890 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:39.922 DEBUG: Received packet, SeqNo = 1
- 11:44:39.922 DEBUG: Sending response, AckNo = 1
- 11:44:39.937 DEBUG: Received packet, SeqNo = 0
- 11:44:39.937 DEBUG: Sending response, AckNo = 0
- 11:44:40.484 DEBUG: Received packet, SeqNo = 0
- 11:44:40.484 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:41.093 DEBUG: Received packet, SeqNo = 0
- 11:44:41.093 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:41.125 DEBUG: Received packet, SeqNo = 1
- 11:44:41.125 DEBUG: Sending response, AckNo = 1
- 11:44:42.031 DEBUG: Received packet, SeqNo = 1
- 11:44:42.031 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:44:43.672 DEBUG: Received packet, SeqNo = 0
- 11:44:43.672 DEBUG: Sending response, AckNo = 0
- 11:44:45.843 DEBUG: Received packet, SeqNo = 0
- 11:44:45.843 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:45.156 DEBUG: Received packet, SeqNo = 0
- 11:44:45.156 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:45.484 DEBUG: Received packet, SeqNo = 1
- 11:44:45.484 DEBUG: Sending response, AckNo = 1
- 11:44:45.484 DEBUG: Received packet, SeqNo = 0
- 11:44:45.484 DEBUG: Sending response, AckNo = 0
- 11:44:46.797 DEBUG: Received packet, SeqNo = 0
- 11:44:46.797 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:46.422 DEBUG: Received packet, SeqNo = 1
- 11:44:46.422 DEBUG: Sending response, AckNo = 1
- 11:44:47.734 DEBUG: Received packet, SeqNo = 0
- 11:44:47.734 DEBUG: Sending response, AckNo = 0
- 11:44:47.734 DEBUG: Received packet, SeqNo = 1
- 11:44:47.734 DEBUG: Sending response, AckNo = 1
- 11:44:47.359 DEBUG: Received packet, SeqNo = 1
- 11:44:47.359 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:44:48.672 DEBUG: Received packet, SeqNo = 0
- 11:44:48.672 DEBUG: Sending response, AckNo = 0
- 11:44:48.000 DEBUG: Received packet, SeqNo = 1
- 11:44:48.000 DEBUG: Sending response, AckNo = 1
- 11:44:48.031 DEBUG: Received packet, SeqNo = 0
- 11:44:48.031 DEBUG: Sending response, AckNo = 0
- 11:44:49.922 DEBUG: Received packet, SeqNo = 0
- 11:44:49.922 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:50.859 DEBUG: Received packet, SeqNo = 0
- 11:44:50.859 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:50.859 DEBUG: Received packet, SeqNo = 1
- 11:44:50.859 DEBUG: Sending response, AckNo = 1
- 11:44:50.484 DEBUG: Received packet, SeqNo = 1
- 11:44:50.484 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:44:51.797 DEBUG: Received packet, SeqNo = 1
- 11:44:51.797 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:44:51.109 DEBUG: Received packet, SeqNo = 1
- 11:44:51.109 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:44:51.140 DEBUG: Received packet, SeqNo = 0
- 11:44:51.140 DEBUG: Sending response, AckNo = 0
- 11:44:51.437 DEBUG: Received packet, SeqNo = 0
- 11:44:51.437 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:52.734 DEBUG: Received packet, SeqNo = 0
- 11:44:52.734 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:52.750 DEBUG: Received packet, SeqNo = 1
- 11:44:52.750 DEBUG: Sending response, AckNo = 1
- 11:44:52.062 DEBUG: Received packet, SeqNo = 0
- 11:44:52.062 DEBUG: Sending response, AckNo = 0
- 11:44:52.062 DEBUG: Received packet, SeqNo = 1
- 11:44:52.062 DEBUG: Sending response, AckNo = 1
- 11:44:53.312 DEBUG: Received packet, SeqNo = 1
- 11:44:53.312 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:44:54.937 DEBUG: Received packet, SeqNo = 1
- 11:44:54.937 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:44:54.968 DEBUG: Received packet, SeqNo = 0
- 11:44:54.968 DEBUG: Sending response, AckNo = 0
- 11:44:55.515 DEBUG: Received packet, SeqNo = 0
- 11:44:55.515 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:55.515 DEBUG: Received packet, SeqNo = 1
